PPP,Turns,Adv,GoalVis%,VisMag,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer
PPP35.ppp,2,38,0.64,0.94,1.28,100.00,100.00,0.00,90.70,2.80,22.30,73.90,99.90
PPP36.ppp,5,38,0.25,0.66,-2.59,100.00,0.00,0.00,21.30,0.50,9.10,34.60,76.30
PPP37.ppp,5,38,0.14,0.51,-3.23,100.00,49.60,0.00,89.30,2.70,19.80,67.00,100.00
PPP38.ppp,3,38,0.36,0.90,0.18,100.00,100.00,100.00,83.10,2.20,33.30,72.40,100.00
PPP39.ppp,2,38,0.33,0.79,0.98,100.00,100.00,0.00,91.80,2.00,51.80,73.50,99.90
PPP40.ppp,3,38,0.35,1.18,0.71,100.00,100.00,100.00,86.30,2.10,31.70,74.90,98.80
PPP41.ppp,3,38,0.50,0.99,0.17,100.00,100.00,100.00,84.60,1.70,25.70,81.80,100.00
PPP42.ppp,5,46,0.30,0.77,-2.35,100.00,100.00,0.00,87.80,1.20,4.30,69.80,100.00
PPP43.ppp,6,46,0.28,0.75,-3.31,100.00,100.00,100.00,69.10,0.30,3.20,72.50,95.90
PPP44.ppp,5,38,0.54,0.77,-2.62,100.00,100.00,0.00,83.40,2.30,26.30,64.10,93.40
PPP45.ppp,3,38,0.38,0.61,-0.75,100.00,100.00,0.00,98.40,2.10,54.00,94.10,100.00
PPP46.ppp,4,38,0.30,0.79,-1.32,100.00,100.00,100.00,75.20,1.30,20.60,59.90,75.60
PPP47.ppp,1,38,0.35,0.72,1.52,100.00,100.00,100.00,76.90,2.80,40.90,66.60,99.80
PPP48.ppp,1,38,0.34,0.87,2.21,100.00,100.00,100.00,90.50,2.10,44.40,80.20,98.60
PPP49.ppp,3,38,0.32,1.04,0.38,100.00,100.00,0.00,79.10,1.80,18.90,60.40,93.80
PPP50.ppp,5,38,0.31,0.67,-2.55,100.00,100.00,0.00,12.20,1.50,12.70,27.60,97.80
PPP51.ppp,6,40,0.39,0.92,-2.82,100.00,100.00,0.00,64.60,0.40,30.30,63.90,92.50
PPP52.ppp,1,38,0.60,1.20,2.90,100.00,100.00,100.00,79.90,3.60,24.00,79.40,100.00
PPP53.ppp,5,38,0.43,0.62,-2.72,100.00,0.00,0.00,98.90,2.00,12.70,87.00,100.00
PPP54.ppp,2,38,0.76,1.19,1.56,100.00,0.00,100.00,90.60,3.10,35.60,76.70,99.90
PPP55.ppp,2,38,0.31,0.87,0.99,100.00,100.00,100.00,67.30,2.70,19.70,71.40,100.00
PPP56.ppp,5,44,0.43,0.62,-2.79,100.00,0.00,0.00,74.90,0.50,43.30,76.00,98.50
PPP57.ppp,5,44,0.07,0.89,-2.19,100.00,100.00,0.00,50.00,0.20,22.90,41.10,93.10
PPP58.ppp,5,38,0.43,0.58,-3.03,100.00,100.00,100.00,73.20,0.50,4.60,62.40,61.70
PPP59.ppp,6,44,0.13,0.72,-3.42,100.00,0.00,76.50,54.70,0.40,12.00,38.30,100.00
